Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
PTON,36.22,Call,36.00,05/08/20,3,2.89,2.95,3.00,2.95,4136,590,7.01,217.56%,05/05/20
AFL,35.92,Put,30.00,08/21/20,108,1.53,1.72,1.91,1.85,1456,208,7,59.18%,05/05/20
PYPL,125.43,Put,117.00,05/08/20,3,0.61,0.73,0.85,0.58,951,136,6.99,72.08%,05/05/20
SQ,66.69,Put,66.00,05/08/20,3,2.21,2.29,2.37,2.29,1392,199,6.99,109.40%,05/05/20
LYFT,26.68,Put,26.00,05/08/20,3,1.36,1.38,1.40,1.38,4203,602,6.98,178.62%,05/05/20
SHOP,686.11,Call,750.00,05/08/20,3,11.00,11.75,12.50,12.50,2417,347,6.97,137.62%,05/05/20
AAPL,297.56,Call,302.50,05/08/20,3,1.30,1.34,1.38,1.36,27685,3977,6.96,29.86%,05/05/20
PYPL,125.43,Call,140.00,10/16/20,164,6.50,6.78,7.05,6.75,938,136,6.9,35.25%,05/05/20
TSLA,768.21,Call,785.00,05/15/20,10,30.95,31.45,31.95,31.50,1426,207,6.89,76.51%,05/05/20
REGN,574.37,Call,525.00,06/19/20,45,59.70,62.05,64.40,62.00,1005,147,6.84,39.76%,05/05/20
MVIS,1.3,Call,3.00,06/19/20,45,0.25,0.35,0.45,0.30,1954,286,6.83,337.18%,05/05/20
SHOP,686.11,Call,800.00,05/08/20,3,5.10,5.2,5.30,5.20,2380,350,6.8,140.23%,05/05/20
NKE,87.2,Put,87.00,05/08/20,3,1.13,1.19,1.25,1.14,764,113,6.76,39.43%,05/05/20
DIS,101.06,Put,91.50,05/08/20,3,0.71,0.76,0.82,0.71,831,124,6.7,105.55%,05/05/20
SNAP,17.51,Call,18.50,05/08/20,3,0.10,0.12,0.13,0.12,10786,1609,6.7,69.50%,05/05/20
EA,119.61,Call,135.00,05/08/20,3,0.35,0.38,0.40,0.40,1102,165,6.68,95.15%,05/05/20
YETI,26.88,Call,28.00,05/08/20,3,0.80,0.98,1.15,0.95,1073,161,6.66,145.24%,05/05/20
EA,119.61,Call,126.00,05/08/20,3,1.38,1.53,1.68,1.51,704,106,6.64,87.76%,05/05/20
QCOM,77.63,Call,80.00,05/08/20,3,0.39,0.42,0.44,0.43,5714,861,6.64,44.86%,05/05/20
W,165.88,Put,135.00,05/08/20,3,0.70,1,1.30,0.87,749,113,6.63,165.47%,05/05/20
WEN,18.81,Put,19.00,05/15/20,10,1.10,1.13,1.15,1.15,5950,900,6.61,84.67%,05/05/20
NEM,64.91,Put,64.00,05/08/20,3,0.58,0.65,0.72,0.66,1100,167,6.59,45.29%,05/05/20
COUP,189.73,Put,170.00,06/19/20,45,8.40,9.1,9.80,8.20,652,100,6.52,64.89%,05/05/20
BYND,100.16,Put,98.00,05/08/20,3,3.50,4.75,6.00,5.60,688,106,6.49,185.22%,05/05/20
W,165.88,Call,190.00,08/21/20,108,20.30,21.6,22.90,21.87,665,103,6.46,84.47%,05/05/20
DIS,101.06,Call,104.00,05/08/20,3,2.00,2.14,2.28,2.17,4077,633,6.44,92.74%,05/05/20
PLNT,57.08,Call,57.50,05/15/20,10,3.10,3.35,3.60,3.22,1175,186,6.32,90.40%,05/05/20
DAL,21.71,Call,25.50,05/15/20,10,0.20,0.22,0.23,0.22,1055,168,6.28,86.36%,05/05/20
GOOGL,1349.02,Call,1390.00,05/08/20,3,2.40,2.7,3.00,2.65,1053,168,6.27,30.28%,05/05/20
HD,225.61,Call,230.00,05/08/20,3,1.13,1.31,1.49,1.27,3731,595,6.27,35.85%,05/05/20
W,165.88,Put,130.00,05/08/20,3,0.45,0.58,0.70,0.59,1435,231,6.21,172.76%,05/05/20
UBER,28.07,Put,28.00,05/08/20,3,1.50,1.52,1.53,1.52,6028,975,6.18,153.61%,05/05/20
TSLA,768.21,Call,820.00,05/08/20,3,5.30,5.45,5.60,5.40,7087,1146,6.18,77.89%,05/05/20
FB,207.07,Call,222.50,05/08/20,3,0.08,0.1,0.11,0.12,1649,268,6.15,43.83%,05/05/20
FB,207.07,Put,205.00,05/08/20,3,1.88,1.95,2.03,1.93,9150,1488,6.15,38.32%,05/05/20
W,165.88,Call,190.00,05/15/20,10,3.30,3.6,3.90,3.60,1962,320,6.13,102.21%,05/05/20
EA,119.61,Put,110.00,05/08/20,3,0.50,0.64,0.77,0.62,1046,171,6.12,84.98%,05/05/20
HTZ,3.01,Put,2.00,05/22/20,17,0.40,0.5,0.60,0.50,2617,428,6.11,448.79%,05/05/20
PYPL,125.43,Put,114.00,05/08/20,3,0.27,0.31,0.34,0.29,993,163,6.09,74.78%,05/05/20
FB,207.07,Call,217.50,05/08/20,3,0.14,0.21,0.27,0.27,7869,1293,6.09,38.55%,05/05/20
WFC,26.32,Call,26.50,05/08/20,3,0.29,0.31,0.33,0.32,1168,192,6.08,42.13%,05/05/20
TSLA,768.21,Call,825.00,05/08/20,3,4.50,4.9,5.30,4.85,2326,384,6.06,79.28%,05/05/20
FB,207.07,Call,212.50,05/15/20,10,2.19,2.42,2.64,2.34,1996,331,6.03,32.65%,05/05/20
TEAM,169.58,Put,135.00,06/19/20,45,1.45,1.58,1.70,1.43,704,117,6.02,52.63%,05/05/20
NFLX,424.68,Call,490.00,05/08/20,3,0.04,0.09,0.14,0.10,1800,299,6.02,68.23%,05/05/20
QCOM,77.63,Put,77.00,05/08/20,3,1.05,1.09,1.12,1.04,1499,250,6,47.75%,05/05/20
AAPL,297.56,Call,307.50,05/08/20,3,0.42,0.47,0.52,0.48,18906,3158,5.99,30.42%,05/05/20
BA,125.4,Put,120.00,05/08/20,3,1.84,1.91,1.98,1.96,28532,4769,5.98,92.71%,05/05/20
NEE,230.1,Call,310.00,01/21/22,626,5.20,7.2,9.20,6.90,1086,182,5.97,22.06%,05/05/20
GM,21.26,Put,21.50,05/08/20,3,0.77,0.93,1.09,0.95,1150,194,5.93,106.83%,05/05/20
SHOP,686.11,Put,610.00,05/08/20,3,6.70,7.9,9.10,7.00,773,131,5.9,134.42%,05/05/20
TGT,111.76,Call,111.00,05/08/20,3,1.77,2.04,2.30,2.00,1863,318,5.86,39.33%,05/05/20
EA,119.61,Call,130.00,05/08/20,3,0.76,0.83,0.90,0.77,3011,514,5.86,88.26%,05/05/20
TSLA,768.21,Put,700.00,05/08/20,3,3.15,3.18,3.20,3.15,23230,3962,5.86,85.26%,05/05/20
JWN,17.34,Call,17.50,06/19/20,45,2.25,2.3,2.35,2.33,1255,215,5.84,98.73%,05/05/20
BYND,100.16,Put,83.00,05/08/20,3,0.95,0.99,1.02,1.02,1789,307,5.83,185.92%,05/05/20
BABA,195.02,Call,207.50,05/22/20,17,2.51,2.63,2.75,2.45,1707,294,5.81,40.14%,05/05/20
BRKR,37.45,Call,40.00,05/15/20,10,0.25,0.58,0.90,0.90,754,130,5.8,74.60%,05/05/20
BA,125.4,Put,85.00,05/29/20,24,0.46,0.57,0.68,0.56,838,145,5.78,94.26%,05/05/20
HTZ,3.01,Put,0.50,05/29/20,24,0.10,0.13,0.15,0.10,1333,231,5.77,0.00%,05/05/20
T,29.74,Put,29.50,05/15/20,10,0.50,0.51,0.51,0.50,10430,1812,5.76,31.57%,05/05/20
APA,11.78,Call,13.00,05/15/20,10,0.57,0.61,0.64,0.63,4214,734,5.74,139.26%,05/05/20
TSLA,768.21,Call,830.00,05/08/20,3,4.00,4.1,4.20,4.20,6474,1127,5.74,79.67%,05/05/20
