Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
BYND,108.78,Call,120.00,06/19/20,56,11.05,11.65,12.25,11.40,1372,247,5.55,91.92%,04/24/20
ZM,158.8,Call,180.00,05/01/20,7,2.10,2.4,2.70,2.55,11913,2148,5.55,103.44%,04/24/20
VOD,13.64,Call,15.00,07/17/20,84,0.32,0.36,0.40,0.37,1471,267,5.51,32.07%,04/24/20
UNH,291.29,Call,320.00,07/17/20,84,8.25,9.13,10.00,9.00,902,164,5.5,34.13%,04/24/20
AAPL,282.97,Call,292.50,05/15/20,21,5.60,5.7,5.80,5.75,582,106,5.49,35.30%,04/24/20
HRB,14.7,Put,14.00,05/15/20,21,0.45,0.5,0.55,0.50,603,110,5.48,58.74%,04/24/20
HTHT,28.91,Put,22.50,06/19/20,56,0.50,0.55,0.60,0.55,1348,246,5.48,65.15%,04/24/20
SFIX,16.37,Call,16.00,05/15/20,21,1.50,1.53,1.55,1.54,3352,616,5.44,86.78%,04/24/20
INO,14.59,Call,14.50,05/01/20,7,2.05,2.18,2.30,2.10,1799,333,5.4,256.87%,04/24/20
UBER,29.49,Call,30.50,05/01/20,7,0.69,0.71,0.73,0.71,1890,350,5.4,68.96%,04/24/20
GOLD,27.1,Call,31.00,06/19/20,56,1.00,1.03,1.06,1.01,1407,261,5.39,54.67%,04/24/20
UAL,25.56,Call,30.00,07/17/20,84,2.87,2.96,3.05,3.05,1035,195,5.31,93.76%,04/24/20
AMRN,7.53,Call,7.50,05/01/20,7,0.41,0.42,0.42,0.42,5053,952,5.31,97.38%,04/24/20
LVS,43.78,Call,46.00,05/15/20,21,1.82,1.95,2.08,1.87,1054,199,5.3,66.01%,04/24/20
BYND,108.78,Call,150.00,06/19/20,56,4.70,4.93,5.15,5.00,865,164,5.27,94.35%,04/24/20
TLRY,8.07,Call,9.00,05/08/20,14,0.69,0.7,0.71,0.68,635,121,5.25,162.91%,04/24/20
ABT,94.06,Call,110.00,08/21/20,119,2.10,2.53,2.95,2.35,2574,493,5.22,33.59%,04/24/20
LYFT,31.96,Put,29.00,05/01/20,7,0.45,0.51,0.56,0.48,1350,259,5.21,90.76%,04/24/20
BYND,108.78,Call,120.00,05/08/20,14,7.35,7.68,8.00,7.55,733,141,5.2,138.61%,04/24/20
INO,14.59,Call,14.00,05/01/20,7,2.20,2.3,2.40,2.39,3639,702,5.18,264.91%,04/24/20
INTC,59.26,Call,57.50,05/01/20,7,2.31,2.4,2.49,2.40,1267,245,5.17,41.24%,04/24/20
GIS,60.48,Call,62.50,06/19/20,56,1.69,1.77,1.85,1.60,1544,300,5.15,25.39%,04/24/20
UNH,291.29,Call,300.00,05/01/20,7,1.71,1.88,2.05,2.05,1157,225,5.14,32.36%,04/24/20
TSLA,725.15,Call,715.00,05/01/20,7,51.75,53.03,54.30,53.61,1251,245,5.11,121.52%,04/24/20
BYND,108.78,Put,95.00,05/01/20,7,1.23,1.39,1.54,1.22,1277,251,5.09,100.09%,04/24/20
NVDA,289.59,Call,310.00,05/01/20,7,1.56,1.63,1.70,1.56,5140,1009,5.09,47.67%,04/24/20
EC,9.51,Call,10.00,05/15/20,21,0.35,0.45,0.55,0.50,943,186,5.07,76.84%,04/24/20
EXPE,66.57,Put,60.00,07/17/20,84,6.00,6.35,6.70,6.24,1404,278,5.05,76.70%,04/24/20
ISBC,8.27,Put,7.50,06/19/20,56,0.35,0.55,0.75,0.40,613,122,5.02,59.11%,04/24/20
ETSY,66.19,Call,70.00,05/01/20,7,0.95,1.17,1.40,1.04,1032,207,4.99,66.26%,04/24/20
SAND,7.56,Put,7.00,09/18/20,147,0.85,0.93,1.00,0.91,2019,406,4.97,64.81%,04/24/20
TLRY,8.07,Call,8.00,05/08/20,14,0.80,0.9,1.00,0.95,1035,209,4.95,145.92%,04/24/20
AEO,6.83,Call,7.50,05/01/20,7,0.10,0.13,0.15,0.10,518,105,4.93,84.16%,04/24/20
TSLA,725.15,Call,780.00,05/01/20,7,28.10,29.05,30.00,28.50,1720,349,4.93,123.52%,04/24/20
ZM,158.8,Call,235.00,05/01/20,7,0.10,0.55,1.00,0.25,551,112,4.92,136.17%,04/24/20
INO,14.59,Call,15.50,05/01/20,7,1.65,1.78,1.90,1.89,811,165,4.92,280.39%,04/24/20
BYND,108.78,Call,110.00,05/01/20,7,6.35,6.4,6.45,6.44,11655,2368,4.92,116.32%,04/24/20
LUV,29.33,Call,30.00,05/01/20,7,0.95,1,1.05,1.05,1836,374,4.91,82.79%,04/24/20
BABA,204.36,Call,195.00,05/01/20,7,9.80,10.5,11.20,10.28,865,177,4.89,35.38%,04/24/20
SHOP,643.19,Call,750.00,05/01/20,7,3.60,3.75,3.90,3.90,698,143,4.88,86.26%,04/24/20
DBI,4.75,Call,5.00,05/15/20,21,0.35,0.43,0.50,0.45,1223,251,4.87,121.56%,04/24/20
BMY,62.25,Put,62.00,05/08/20,14,1.17,1.34,1.51,1.34,608,125,4.86,30.39%,04/24/20
LFC,10.31,Put,5.00,10/16/20,175,0.10,0.13,0.15,0.14,592,122,4.85,76.12%,04/24/20
ZM,158.8,Put,157.50,05/01/20,7,8.40,8.55,8.70,8.50,907,187,4.85,104.85%,04/24/20
BYND,108.78,Put,90.00,05/01/20,7,0.62,0.65,0.67,0.67,5034,1040,4.84,105.98%,04/24/20
HTZ,3.71,Call,4.00,05/15/20,21,0.60,0.73,0.85,0.65,759,157,4.83,215.43%,04/24/20
CGC,15.59,Call,15.50,05/01/20,7,0.67,0.74,0.80,0.71,1381,286,4.83,77.15%,04/24/20
GILD,79.64,Call,79.00,05/01/20,7,3.70,3.83,3.95,3.90,1256,265,4.74,81.32%,04/24/20
TSLA,725.15,Call,700.00,05/01/20,7,60.00,62.1,64.20,62.00,2389,506,4.72,122.85%,04/24/20
MGM,13.94,Call,14.50,05/01/20,7,0.54,0.6,0.65,0.59,1729,371,4.66,106.94%,04/24/20
BABA,204.36,Call,207.50,05/08/20,14,3.80,3.98,4.15,3.82,1201,259,4.64,32.35%,04/24/20
JPM,90.71,Put,65.00,03/19/21,329,5.45,5.75,6.05,5.90,2592,561,4.62,54.57%,04/24/20
AN,33.63,Put,15.00,10/16/20,175,0.25,0.48,0.70,0.64,800,174,4.6,91.24%,04/24/20
TLRY,8.07,Call,7.50,05/08/20,14,1.08,1.21,1.34,1.20,838,182,4.6,145.91%,04/24/20
ET,7.19,Call,7.50,05/08/20,14,0.24,0.26,0.27,0.26,2664,581,4.59,68.82%,04/24/20
AVGO,264.81,Call,260.00,05/01/20,7,8.60,9.95,11.30,9.00,521,114,4.57,43.24%,04/24/20
CHWY,44.04,Call,46.00,05/01/20,7,0.85,1.08,1.30,1.00,749,164,4.57,72.83%,04/24/20
UAL,25.56,Call,25.00,05/01/20,7,1.78,1.83,1.88,1.83,1232,272,4.53,109.71%,04/24/20
TLRY,8.07,Call,7.50,05/01/20,7,0.98,1.04,1.10,1.04,5968,1321,4.52,167.46%,04/24/20
GNRC,97.55,Put,95.00,05/15/20,21,3.10,3.7,4.30,3.45,502,112,4.48,50.42%,04/24/20
AOBC,9.64,Put,9.00,06/19/20,56,0.65,0.68,0.70,0.67,811,181,4.48,66.37%,04/24/20
WORK,26.06,Put,28.00,05/01/20,7,2.40,2.5,2.60,2.45,752,169,4.45,83.99%,04/24/20
BSX,36.9,Call,38.00,05/01/20,7,0.00,2.25,4.50,0.55,524,118,4.44,48.48%,04/24/20
SYF,16.97,Call,21.00,06/19/20,56,0.25,0.38,0.50,0.40,537,121,4.44,57.71%,04/24/20
HLF,34.61,Call,40.00,01/15/21,266,4.30,4.5,4.70,4.35,750,169,4.44,52.45%,04/24/20
ZM,158.8,Put,140.00,05/08/20,14,5.70,5.8,5.90,5.80,772,174,4.44,112.91%,04/24/20
DAL,22.41,Call,25.00,05/29/20,35,1.10,1.18,1.26,1.15,3222,727,4.43,75.33%,04/24/20
TSLA,725.15,Put,710.00,05/01/20,7,40.80,41.65,42.50,41.55,1145,259,4.42,123.32%,04/24/20
DAL,22.41,Call,23.00,05/01/20,7,0.70,0.71,0.71,0.71,8863,2005,4.42,77.75%,04/24/20
JPM,90.71,Put,80.00,05/29/20,35,1.99,2.14,2.29,2.00,1051,239,4.4,56.04%,04/24/20
CCL,11.91,Call,11.50,05/15/20,21,1.35,1.4,1.45,1.50,681,155,4.39,114.72%,04/24/20
MAR,80.71,Put,60.00,06/19/20,56,2.75,2.93,3.10,3.20,618,141,4.38,96.68%,04/24/20
PYPL,120.18,Put,120.00,05/01/20,7,2.63,2.72,2.81,2.69,658,151,4.36,42.10%,04/24/20
TLRY,8.07,Call,10.00,05/08/20,14,0.45,0.48,0.51,0.49,1888,434,4.35,174.12%,04/24/20
JPM,90.71,Put,84.00,05/15/20,21,1.92,2.04,2.16,2.00,581,134,4.34,55.30%,04/24/20
CCL,11.91,Call,13.00,05/15/20,21,0.65,0.7,0.75,0.70,2291,528,4.34,97.77%,04/24/20
ET,7.19,Call,8.00,06/19/20,56,0.37,0.41,0.45,0.40,5060,1168,4.33,61.76%,04/24/20
RIG,0.9672,Put,1.00,05/08/20,14,0.12,0.17,0.22,0.17,799,185,4.32,202.49%,04/24/20
TLRY,8.07,Call,9.00,05/01/20,7,0.48,0.51,0.53,0.52,3295,766,4.3,193.71%,04/24/20
TLRY,8.07,Call,12.50,06/19/20,56,0.56,0.6,0.63,0.57,7221,1679,4.3,132.33%,04/24/20
LYFT,31.96,Call,30.00,05/01/20,7,2.25,2.59,2.92,2.56,1141,267,4.27,79.28%,04/24/20
AMKR,9.41,Put,9.00,05/15/20,21,0.55,0.7,0.85,0.70,1154,271,4.26,101.64%,04/24/20
PE,8.32,Call,15.00,09/18/20,147,0.25,0.3,0.35,0.35,3015,707,4.26,80.51%,04/24/20
TLRY,8.07,Put,7.50,05/01/20,7,0.52,0.58,0.64,0.58,727,176,4.13,194.81%,04/24/20
AMZN,2410.22,Call,3500.00,05/01/20,7,0.10,0.37,0.64,0.50,1145,277,4.13,101.41%,04/24/20
ERI,17.82,Put,12.50,06/19/20,56,1.05,1.33,1.60,1.30,1514,368,4.11,143.04%,04/24/20
AMZN,2410.22,Put,1850.00,05/01/20,7,0.02,0.37,0.72,0.29,526,129,4.08,72.90%,04/24/20
UPS,100.18,Put,92.50,05/15/20,21,0.00,1.35,2.69,2.32,551,135,4.08,57.79%,04/24/20
HTZ,3.71,Put,3.00,05/01/20,7,0.15,0.18,0.20,0.15,1256,308,4.08,223.65%,04/24/20
MMM,147,Call,149.00,05/01/20,7,2.89,3.3,3.70,3.52,562,138,4.07,54.25%,04/24/20
INTC,59.26,Call,61.00,05/08/20,14,0.94,0.97,1.00,0.96,814,200,4.07,35.76%,04/24/20
ZM,158.8,Put,130.00,05/01/20,7,1.75,1.8,1.85,1.80,2607,640,4.07,131.73%,04/24/20
GEL,4.97,Call,7.50,06/19/20,56,0.10,0.2,0.30,0.25,845,208,4.06,112.21%,04/24/20
NFLX,424.99,Call,560.00,05/01/20,7,0.01,0.11,0.20,0.10,4188,1045,4.01,78.95%,04/24/20
ZM,158.8,Call,240.00,05/01/20,7,0.15,0.2,0.25,0.20,2421,606,4,137.66%,04/24/20
WDC,40.69,Put,32.50,07/17/20,84,2.10,2.2,2.29,2.14,1170,293,3.99,76.20%,04/24/20
LRN,24.6,Call,35.00,06/19/20,56,0.25,0.38,0.50,0.32,900,226,3.98,66.90%,04/24/20
WYNN,76.61,Put,69.00,05/01/20,7,0.85,1.43,2.01,1.00,634,160,3.96,89.61%,04/24/20
HTZ,3.71,Put,3.00,01/15/21,266,1.45,1.5,1.55,1.45,25120,6372,3.94,172.66%,04/24/20
WFC,26.92,Put,24.00,05/08/20,14,0.25,0.29,0.33,0.30,613,156,3.93,63.37%,04/24/20
TSLA,725.15,Call,710.00,05/01/20,7,55.15,55.97,56.80,55.84,1133,290,3.91,120.72%,04/24/20
SPPI,2.89,Put,2.00,05/15/20,21,0.00,0.05,0.10,0.10,804,206,3.9,172.40%,04/24/20
TSLA,725.15,Put,590.00,05/01/20,7,6.15,6.45,6.75,6.65,650,167,3.89,126.24%,04/24/20
BA,128.98,Put,130.00,05/01/20,7,7.25,7.75,8.25,8.10,4558,1171,3.89,106.26%,04/24/20
INTC,59.26,Put,57.00,05/08/20,14,1.05,1.09,1.13,1.10,1118,288,3.88,45.00%,04/24/20
BMY,62.25,Put,58.00,05/15/20,21,0.49,0.55,0.61,0.53,530,137,3.87,34.40%,04/24/20
LYFT,31.96,Call,31.00,05/01/20,7,1.79,1.92,2.05,1.93,638,165,3.87,80.18%,04/24/20
WLL,1.12,Call,1.50,05/01/20,7,0.10,0.13,0.15,0.10,3849,994,3.87,343.24%,04/24/20
JPM,90.71,Call,85.00,03/19/21,329,16.00,16.6,17.20,16.45,622,161,3.86,39.15%,04/24/20
WORK,26.06,Call,27.00,05/08/20,14,1.25,1.3,1.35,1.30,635,165,3.85,83.31%,04/24/20
INTC,59.26,Put,58.00,05/08/20,14,1.38,1.44,1.51,1.46,708,184,3.85,44.53%,04/24/20
OXY,13.81,Put,13.00,05/15/20,21,1.11,1.14,1.16,1.14,1567,408,3.84,118.52%,04/24/20
INTC,59.26,Put,59.00,05/08/20,14,1.81,1.87,1.92,1.90,508,133,3.82,44.18%,04/24/20
EPR,23.72,Call,25.00,05/15/20,21,0.95,1.17,1.40,1.27,1276,337,3.79,78.79%,04/24/20
PBR,5.66,Put,5.00,05/08/20,14,0.12,0.16,0.19,0.19,2911,771,3.78,107.19%,04/24/20
LYFT,31.96,Call,32.00,05/01/20,7,1.31,1.32,1.33,1.31,561,149,3.77,75.11%,04/24/20
PBR,5.66,Call,6.50,05/15/20,21,0.17,0.19,0.20,0.17,1632,433,3.77,82.02%,04/24/20
TLRY,8.07,Call,8.50,05/01/20,7,0.60,0.61,0.61,0.61,3124,828,3.77,176.59%,04/24/20
MSFT,174.55,Put,152.50,05/22/20,28,1.49,1.63,1.77,1.83,631,168,3.76,48.95%,04/24/20
CSOD,30.69,Call,32.50,05/15/20,21,1.00,1.05,1.10,1.05,1429,380,3.76,59.79%,04/24/20
AAPL,282.97,Put,260.00,05/08/20,14,0.24,1.42,2.60,2.47,2698,718,3.76,47.55%,04/24/20
BAC,22.18,Put,18.00,11/20/20,210,1.77,1.81,1.85,1.86,965,257,3.75,60.32%,04/24/20
KGC,7.09,Call,9.00,06/19/20,56,0.26,0.28,0.29,0.28,942,252,3.74,75.32%,04/24/20
SQ,62.01,Call,62.50,05/15/20,21,4.25,4.33,4.40,4.35,3909,1048,3.73,76.86%,04/24/20
INTC,59.26,Put,57.00,05/01/20,7,0.50,0.53,0.56,0.54,1823,490,3.72,43.33%,04/24/20
TSLA,725.15,Put,705.00,05/01/20,7,38.50,38.93,39.35,39.05,623,168,3.71,123.01%,04/24/20
FCX,8.48,Call,9.50,05/15/20,21,0.19,0.22,0.24,0.22,1080,291,3.71,69.26%,04/24/20
CRWD,72,Call,75.00,05/01/20,7,0.90,1.15,1.40,1.26,3656,985,3.71,60.87%,04/24/20
BABA,204.36,Call,207.50,05/01/20,7,2.34,2.42,2.50,2.41,4182,1126,3.71,33.02%,04/24/20
BDX,268.17,Call,290.00,06/19/20,56,3.50,4.05,4.60,4.00,918,249,3.69,26.86%,04/24/20
CTSH,53.81,Call,55.00,06/19/20,56,2.80,2.95,3.10,3.13,1332,361,3.69,43.02%,04/24/20
SPCE,17.02,Call,16.00,05/01/20,7,1.45,1.58,1.70,1.62,1112,302,3.68,112.88%,04/24/20
BA,128.98,Put,128.00,05/01/20,7,6.50,6.85,7.20,7.15,1032,281,3.67,107.79%,04/24/20
MMC,93.29,Call,100.00,05/15/20,21,0.60,0.8,1.00,0.75,1985,541,3.67,32.01%,04/24/20
FB,190.07,Call,190.00,05/01/20,7,7.05,7.25,7.45,7.34,12843,3499,3.67,69.41%,04/24/20
BABA,204.36,Call,205.00,05/01/20,7,3.40,3.47,3.55,3.46,2212,605,3.66,33.16%,04/24/20
NVDA,289.59,Call,300.00,05/08/20,14,6.05,6.4,6.75,6.75,1499,411,3.65,48.41%,04/24/20
INTC,59.26,Call,58.00,05/01/20,7,1.98,2.06,2.14,2.03,2950,809,3.65,40.00%,04/24/20
IBN,8.72,Call,11.00,09/18/20,147,0.39,0.53,0.67,0.49,509,140,3.64,53.28%,04/24/20
PTON,31.74,Call,31.00,05/15/20,21,3.85,3.9,3.95,3.85,1484,408,3.64,115.55%,04/24/20
GILD,79.64,Put,76.50,05/01/20,7,2.00,2.1,2.20,2.07,544,150,3.63,79.33%,04/24/20
ZM,158.8,Call,220.00,05/01/20,7,0.05,0.28,0.50,0.35,798,220,3.63,123.61%,04/24/20
FULT,10.47,Put,2.50,12/18/20,238,0.10,0.2,0.30,0.13,1017,280,3.63,118.46%,04/24/20
ZM,158.8,Put,140.00,05/01/20,7,3.10,3.2,3.30,3.10,3439,949,3.62,118.53%,04/24/20
INO,14.59,Put,8.50,05/01/20,7,0.10,0.13,0.15,0.15,628,174,3.61,276.30%,04/24/20
ZM,158.8,Call,172.50,05/01/20,7,3.70,4.4,5.10,4.03,863,240,3.6,101.88%,04/24/20
ROKU,124.83,Call,124.00,05/01/20,7,5.45,5.6,5.75,5.75,516,144,3.58,77.30%,04/24/20
EXC,36.6,Call,34.00,05/15/20,21,3.20,3.45,3.70,3.20,700,196,3.57,45.88%,04/24/20
HAL,8.86,Call,9.50,05/01/20,7,0.14,0.16,0.18,0.14,1326,371,3.57,74.20%,04/24/20
AAPL,282.97,Put,282.50,05/01/20,7,7.00,7.13,7.25,7.25,1778,498,3.57,48.12%,04/24/20
ROKU,124.83,Call,125.00,05/01/20,7,5.10,5.18,5.25,5.10,3294,922,3.57,74.97%,04/24/20
PTON,31.74,Call,32.50,05/01/20,7,1.10,1.21,1.31,1.44,534,150,3.56,101.04%,04/24/20
LYFT,31.96,Call,31.50,05/01/20,7,0.91,1.32,1.73,1.58,588,165,3.56,76.11%,04/24/20
BLL,65.27,Put,65.00,05/15/20,21,3.00,3.15,3.30,3.04,1355,381,3.56,51.30%,04/24/20
CSCO,42.52,Call,41.00,06/19/20,56,3.35,3.45,3.55,3.47,2014,565,3.56,39.86%,04/24/20
ET,7.19,Put,7.00,05/01/20,7,0.19,0.22,0.24,0.22,2959,832,3.56,78.19%,04/24/20
M,5.02,Call,5.50,05/01/20,7,0.12,0.16,0.20,0.13,3861,1084,3.56,107.83%,04/24/20
PYPL,120.18,Call,125.00,05/01/20,7,0.96,0.98,1.00,0.95,1750,495,3.54,39.81%,04/24/20
INTC,59.26,Put,58.00,05/01/20,7,0.75,0.78,0.80,0.80,2787,788,3.54,41.43%,04/24/20
CGC,15.59,Call,16.00,05/01/20,7,0.52,0.54,0.55,0.54,7730,2191,3.53,83.16%,04/24/20
YPF,3.3,Call,12.00,01/21/22,637,0.00,0.13,0.25,0.25,570,162,3.52,73.56%,04/24/20
NFLX,424.99,Put,75.00,01/15/21,266,0.21,0.38,0.55,0.45,1120,318,3.52,88.39%,04/24/20
AAPL,282.97,Call,282.50,05/01/20,7,7.25,7.43,7.60,7.48,4253,1209,3.52,46.17%,04/24/20
NFLX,424.99,Put,415.00,05/01/20,7,6.10,6.35,6.60,6.44,1693,482,3.51,46.29%,04/24/20
BA,128.98,Put,115.00,05/01/20,7,2.55,2.63,2.70,2.67,3010,866,3.48,115.09%,04/24/20
